Codi,Latitud,Longitud,Nom,Adreça,Municipi,DM,Comarca,ST,SE,Naturalesa,TipusCentre,Estudis,Web,Logo,Web-Nodes,Web-Propi,Telefons,Mail,Twitter,Instagram,Codi-SE,Codi-SEZ
08000013,41.515049613,1.900457916,Escola Francesc Platón i Sartí,"c. Salvador Espriu, 3 - 08630 Abrera",Abrera,,Baix Llobregat,BLL,SE del Baix Llobregat VII,Públic,ESC,"EINF2C,EPRI",https://blocs.xtec.cat/platonabrera,https://drive.google.com/thumbnail?id=1buzM6i0Bj9HoYntsjTAfFThUsLlR3lpU,,https://blocs.xtec.cat/platonabrera,"937700381, 937700783",a8000013@xtec.cat,,,BLL07,08870310
08000049,41.494473072,2.297838496,Escola Fabra,"av. del Bosquet, 1 - 08328 Alella",Alella,,Maresme,MVO,SE del Baix Maresme,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escfabra/moodle,https://drive.google.com/thumbnail?id=17OeaR2i0ZgRGLpOjaNEUW1td-FOsvokC,,https://agora.xtec.cat/escfabra/moodle,"935557803, 935557961",a8000049@xtec.cat,,,MVO03,08870205
08000086,42.120485359,2.10010879,Escola La Forja - ZER Alt Lluçanès,"ctra. Lluçanesa, 8 - 08589 Alpens",Alpens,,Osona,CCE,SE d'Osona,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/zer-altllucanes/categoria/la-forja,https://drive.google.com/thumbnail?id=1anjbMHrFF8qPKkp9Fy6_mjXEQd7Xwt-v,,https://agora.xtec.cat/zer-altllucanes/categoria/la-forja,938527007,a8000086@xtec.cat,,,CCE04,08870208
08000098,41.666360883,2.260109509,Escola Bertí,"Antic camí de Caldes, s/n - 08480 L'Ametlla del Vallès",L'Ametlla del Vallès,,Vallès Oriental,MVO,SE del Vallès Oriental IV,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipberti,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aZVdYT1d5TnRPejQ,https://agora.xtec.cat/ceipberti,,"938432778, 938432778",a8000098@xtec.cat,,,MVO07,08870216
08000131,41.585754015,2.547075835,La Presentació,"c. Pompeu Fabra, 2 - 08350 Arenys de Mar",Arenys de Mar,,Maresme,MVO,SE de l'Alt Maresme,Privat,IE,"EINF2C,EPRI,ESO,BATX,CFPM",http://www.presentarenys.net,https://drive.google.com/thumbnail?id=1GGi8rvi8jJbctKCmH1gvAqhO6FAVwLqJ,,http://www.presentarenys.net,"937920241, 937922252",a8000131@xtec.cat,@presentarenys,,MVO02,08870215
08000153,41.582404768,2.54631495,Escola Joan Maragall,"c. Riera Sa Clavella, s/n - 08350 Arenys de Mar",Arenys de Mar,,Maresme,MVO,SE de l'Alt Maresme,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/esc-maragall-arenys,https://drive.google.com/thumbnail?id=12uic1y-e-CgmmDMhGtkIdNlwzyQm8YTB,https://agora.xtec.cat/esc-maragall-arenys,,"937922802, 937958206",a8000153@xtec.cat,,,MVO02,08870215
08000165,41.609034581,2.53853995,Escola Sant Martí,"c. Generalitat, 2 - 08358 Arenys de Munt",Arenys de Munt,,Maresme,MVO,SE de l'Alt Maresme,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolasantmarti,https://drive.google.com/thumbnail?id=1c4LazjbGl9qdrQzt__I3f4vE63IabMI2,https://agora.xtec.cat/escolasantmarti,,"937938070, 937938070",a8000165@xtec.cat,,,MVO02,08870215
08000189,41.553471155,2.400699454,Escola Bernat de Riudemeia,"c. Bernat de Riudemeia, 27 - 08310 Argentona",Argentona,,Maresme,MVO,SE del Baix Maresme,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipbriudemeia,https://drive.google.com/thumbnail?id=1SNPwYRzDVVbQRQof4RyS_GsKQmzF6lc-,https://agora.xtec.cat/ceipbriudemeia,,"937970956, 937970956",a8000189@xtec.cat,,,MVO03,08870205
08000220,41.798004773,1.953085236,Vedruna,"c. Carme, 16 - 08271 Artés",Artés,,Bages,CCE,SE del Bages,Privat,IE,"EINF2C,EPRI,ESO",http://www.vedrunaartes.cat,https://drive.google.com/thumbnail?id=1BmT6ppQIiiSb6kjAtu2MXLxIZhHXJe40,,http://www.vedrunaartes.cat,"938305212, 938202802",a8000220@xtec.cat,,,CCE02,08870201
08000244,41.795943436,1.9523232,Escola Doctor Ferrer,"c. Barcelona, 23 - 08271 Artés",Artés,,Bages,CCE,SE del Bages,Públic,ESC,"EINF2C,EPRI",https://blocs.xtec.cat/escoladoctorferrer,https://drive.google.com/thumbnail?id=1-ChEzwM-SfseVd3EVzLIF6r-SGvoTzQj,,https://blocs.xtec.cat/escoladoctorferrer,"938305377, 938305377",a8000244@xtec.cat,@EscolaDrFerrer,,CCE02,08870201
08000271,42.077470674,1.819588336,Escola Santa Maria d'Avià,"c. Escoles, s/n - 08610 Avià",Avià,,Berguedà,CCE,SE del Berguedà,Públic,ESC,"EINF2C,EPRI",http://escolaavia.cat,https://drive.google.com/thumbnail?id=1NKqFFOYnedirakUK42_z3AmXUsNuogNe,,http://escolaavia.cat,"938230376, 938231806",a8000271@xtec.cat,,,CCE03,08870213
08000323,41.865753898,1.972696125,Escola Barnola,"c. Indústria, 6 - 08279 Avinyó",Avinyó,,Bages,CCE,SE del Bages,Públic,BAIXA,,,,,,,,,,CCE02,08870201
08000347,41.3604101,1.782569346,Escola d'Avinyonet del Penedès,"pg. de la Grava, s/n - 08793 Avinyonet del Penedès",Avinyonet del Penedès,,Alt Penedès,BCO,SE de l'Alt Penedès,Públic,ESC,"EINF2C,EPRI",https://www.escolaavinyonet.org,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aQkw1V1QtbkJzbUE,,https://www.escolaavinyonet.org,"938970443, 938970443",a8000347@xtec.cat,,,BCO05,08870212
08000359,41.770492289,2.250343268,Escola La Muntanya,"c. Núria, s/n - 08591 Aiguafreda",Aiguafreda,,Vallès Oriental,MVO,SE del Vallès Oriental IV,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-lamuntanya-aiguafreda,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aZHFPS1lrNXJ5VHc,https://agora.xtec.cat/ceip-lamuntanya-aiguafreda,,938440179,a8000359@xtec.cat,@escola_muntanya,,MVO07,08870216
08000372,41.465208252,2.251476493,Escola Sant Jordi,"av. de Sabadell, s/n - 08915 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,BAIXA,,,,,,,,,,BCO01,08870209
08000384,41.456845661,2.256227,Escola Lola Anglada,"c. Riera de Canyadó, 53 - 08911 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-lola-anglada-badalona,https://drive.google.com/thumbnail?id=18dSZfERU0XUBoxMlRe7IPjGacNmsDwdJ,https://agora.xtec.cat/ceip-lola-anglada-badalona,,"934642540, 933895532",a8000384@xtec.cat,,,BCO01,08870209
08000396,41.444917282,2.245627785,Escola Ventós i Mir,"ptge. Ventós i Mir, 29-31 - 08912 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-ventosmir,https://drive.google.com/thumbnail?id=1c2Hg8VGsDV_TnOrRDYK0fC2USLOYCDTz,https://agora.xtec.cat/ceip-ventosmir,,"933895523, 933295523",a8000396@xtec.cat,,,BCO01,08870209
08000402,41.444897687,2.220487843,Escola Feliu i Vegués,"c. Sírius, 2A - 08914 Badalona",Badalona,,Barcelonès,BCO,SE Ciutat de Badalona,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolafeliuivegues,https://drive.google.com/thumbnail?id=1SSku5yJLkaYfwgF2erxfB4h-WJ9vzdLL,https://agora.xtec.cat/escolafeliuivegues,,"933871241, 933871241",a8000402@xtec.cat,,,BCO01,08870209
