"id","tipus","nom","municipi","comarca","lat","lng","sstt","se","public","estudis","adreca","web","logo","nodes","web_propi","tel","mail","twitter"
"08000013","ESC","Escola Francesc Platón i Sartí","Abrera","Baix Llobregat",41.51504,1.900457,"BLL","SE del Baix Llobregat VII",true,"EINF2C|EPRI","c. Salvador Espriu, 3 - 08630 Abrera","http://blocs.xtec.cat/platonabrera","https://drive.google.com/thumbnail?id=1buzM6i0Bj9HoYntsjTAfFThUsLlR3lpU","","http://blocs.xtec.cat/platonabrera","937700381, 937700783","a8000013@xtec.cat",""
"08000049","ESC","Escola Fabra","Alella","Maresme",41.49447,2.297838,"MVO","SE del Baix Maresme",true,"EINF2C|EPRI","av. del Bosquet, 1 - 08328 Alella","http://agora.xtec.cat/escfabra/moodle","https://drive.google.com/thumbnail?id=17OeaR2i0ZgRGLpOjaNEUW1td-FOsvokC","","http://agora.xtec.cat/escfabra/moodle","935557803, 935557961","a8000049@xtec.cat",""
"08000086","ESC","Escola La Forja - ZER Alt Lluçanès","Alpens","Osona",42.12048,2.100108,"CCE","SE d'Osona",true,"EINF2C|EPRI","ctra. Lluçanesa, 8 - 08589 Alpens","","","","","938527007","a8000086@xtec.cat",""
"08000098","ESC","Escola Bertí","L'Ametlla del Vallès","Vallès Oriental",41.66636,2.260109,"MVO","SE del Vallès Oriental IV",true,"EINF2C|EPRI","Antic camí de Caldes, s/n - 08480 L'Ametlla del Vallès","http://agora.xtec.cat/ceipberti","https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aZVdYT1d5TnRPejQ","http://agora.xtec.cat/ceipberti","","938432778, 938432778","a8000098@xtec.cat",""
"08000131","IE","La Presentació","Arenys de Mar","Maresme",41.58575,2.547075,"MVO","SE de l'Alt Maresme",false,"EINF2C|EPRI|ESO|BATX|CFPM","c. Pompeu Fabra, 2 - 08350 Arenys de Mar","http://www.presentarenys.net","https://drive.google.com/thumbnail?id=1GGi8rvi8jJbctKCmH1gvAqhO6FAVwLqJ","","http://www.presentarenys.net","937920241, 937922252","a8000131@xtec.cat","@presentarenys"
"08000153","ESC","Escola Joan Maragall","Arenys de Mar","Maresme",41.5824,2.546314,"MVO","SE de l'Alt Maresme",true,"EINF2C|EPRI","c. Riera Sa Clavella, s/n - 08350 Arenys de Mar","http://agora.xtec.cat/esc-maragall-arenys","https://drive.google.com/thumbnail?id=12uic1y-e-CgmmDMhGtkIdNlwzyQm8YTB","http://agora.xtec.cat/esc-maragall-arenys","","937922802, 937958206","a8000153@xtec.cat",""
"08000165","ESC","Escola Sant Martí","Arenys de Munt","Maresme",41.60903,2.538539,"MVO","SE de l'Alt Maresme",true,"EINF2C|EPRI","c. Generalitat, 2 - 08358 Arenys de Munt","http://agora.xtec.cat/escolasantmarti","https://drive.google.com/thumbnail?id=1c4LazjbGl9qdrQzt__I3f4vE63IabMI2","http://agora.xtec.cat/escolasantmarti","","937938070, 937938070","a8000165@xtec.cat",""
"08000189","ESC","Escola Bernat de Riudemeia","Argentona","Maresme",41.55347,2.400699,"MVO","SE del Baix Maresme",true,"EINF2C|EPRI","c. Bernat de Riudemeia, 27 - 08310 Argentona","http://agora.xtec.cat/ceipbriudemeia","https://drive.google.com/thumbnail?id=1SNPwYRzDVVbQRQof4RyS_GsKQmzF6lc-","http://agora.xtec.cat/ceipbriudemeia","","937970956, 937970956","a8000189@xtec.cat",""
"08000220","IE","Vedruna","Artés","Bages",41.798,1.953085,"CCE","SE del Bages",false,"EINF2C|EPRI|ESO","c. Carme, 16 - 08271 Artés","http://www.vedrunaartes.cat","https://drive.google.com/thumbnail?id=1BmT6ppQIiiSb6kjAtu2MXLxIZhHXJe40","","http://www.vedrunaartes.cat","938305212, 938202802","a8000220@xtec.cat",""
"08000244","ESC","Escola Doctor Ferrer","Artés","Bages",41.79594,1.952323,"CCE","SE del Bages",true,"EINF2C|EPRI","c. Barcelona, 23 - 08271 Artés","http://blocs.xtec.cat/escoladoctorferrer","https://drive.google.com/thumbnail?id=1-ChEzwM-SfseVd3EVzLIF6r-SGvoTzQj","","http://blocs.xtec.cat/escoladoctorferrer","938305377, 938305377","a8000244@xtec.cat","@EscolaDrFerrer"
