id,tipus,nom,municipi,adreca,cp,comarca,lat,lng,estudis,sstt,se,web,logo,tel,mail,twitter,public
08000013,ESC,Escola Francesc Platón i Sartí,Abrera,"c. Salvador Espriu, 3",08630,Baix Llobregat,"41,515082","1,900965",EINF2C|EPRI,BLL,08870310,https://agora.xtec.cat/ceip-platon/,08000013.png,937700381,a8000013@xtec.cat,,TRUE
08000049,ESC,Escola Fabra,Alella,"av. del Bosquet, 1",08328,Maresme,"41,49443","2,297972",EINF2C|EPRI,MVO,08870205,https://www.escolafabra.cat/,08000049.png,935557803,a8000049@xtec.cat,,TRUE
08000086,ESC,Escola La Forja - ZER Alt Lluçanès,Alpens,"ctra. Lluçanesa, 8",08589,Osona,"42,120453","2,100956",EINF1C|EINF2C|EPRI,CCE,08870208,https://agora.xtec.cat/zer-altllucanes/,08000086.png,938527007,a8000086@xtec.cat,,TRUE
08000098,ESC,Escola Bertí,L'Ametlla del Vallès,"Antic camí de Caldes, s/n",08480,Vallès Oriental,"41,666671","2,258861",EINF2C|EPRI,MVO,08870216,http://www.escolaberti.cat,08000098.png,938432778,a8000098@xtec.cat,,TRUE
08000131,IE,La Presentació,Arenys de Mar,"c. Pompeu Fabra, 2",08350,Maresme,"41,585667","2,547246",EINF2C|EPRI|ESO|BATX|CFPM,MVO,08870215,http://www.presentarenys.net,08000131.png,937920241,a8000131@xtec.cat,@presentarenys,FALSE
08000153,ESC,Escola Joan Maragall,Arenys de Mar,"Rial de Sa Clavella, s/n",08350,Maresme,"41,582399","2,54587",EINF2C|EPRI,MVO,08870215,https://agora.xtec.cat/esc-maragall-arenys/,08000153.png,937922802,a8000153@xtec.cat,,TRUE
08000165,ESC,Escola Sant Martí,Arenys de Munt,"c. Generalitat, 2",08358,Maresme,"41,609098","2,539037",EINF2C|EPRI,MVO,08870215,http://blocs.xtec.cat/ceipsantmarti/,08000165.png,937938070,a8000165@xtec.cat,,TRUE
08000189,ESC,Escola Bernat de Riudemeia,Argentona,"c. Bernat de Riudemeia, 27",08310,Maresme,"41,553027","2,401413",EINF2C|EPRI,MVO,08870205,http://www.bernatderiudemeia.cat,08000189.png,937970956,a8000189@xtec.cat,,TRUE
08000220,IE,Vedruna Artés,Artés,"c. Carme, 16",08271,Bages,"41,797865","1,952682",EINF2C|EPRI|ESO|CFPM|CFPS,CCE,08870201,http://www.escolavedrunaartes.cat,08000220.png,938305212,a8000220@xtec.cat,,FALSE
08000244,ESC,Escola Doctor Ferrer,Artés,"c. Barcelona, 23",08271,Bages,"41,795676","1,951707",EINF2C|EPRI,CCE,08870201,http://doctorferrer.cat,08000244.png,938305377,a8000244@xtec.cat,@EscolaDrFerrer,TRUE
08000271,ESC,Escola Santa Maria d'Avià,Avià,"c. Escoles, s/n",08610,Berguedà,"42,076731","1,819037",EINF2C|EPRI,CCE,08870213,http://escolaavia.cat/,08000271.png,938230376,a8000271@xtec.cat,,TRUE
08000347,ESC,Escola d'Avinyonet del Penedès,Avinyó Nou (Avinyonet del Penedès),"pg. de la Grava, s/n",08793,Alt Penedès,"41,359897","1,782859",EINF2C|EPRI,BCO,08870212,http://escolaavinyonet.org,08000347.png,938970443,a8000347@xtec.cat,,TRUE
08000359,ESC,Escola La Muntanya,Aiguafreda,"c. Núria, s/n",08591,Vallès Oriental,"41,770409","2,250428",EINF2C|EPRI,MVO,08870216,https://agora.xtec.cat/ceip-lamuntanya-aiguafreda/,08000359.png,938440179,a8000359@xtec.cat,@escola_muntanya,TRUE
08000384,ESC,Escola Lola Anglada,Badalona,"c. Riera de Canyadó, 53",08911,Barcelonès,"41,457191","2,254962",EINF2C|EPRI,BCO,08870209,https://agora.xtec.cat/ceip-lola-anglada-badalona/,08000384.png,934642540,a8000384@xtec.cat,,TRUE
08000396,ESC,Escola Ventós i Mir,Badalona,"ptge. Ventós i Mir, 29-31",08912,Barcelonès,"41,444629","2,245706",EINF2C|EPRI,BCO,08870209,https://agora.xtec.cat/ceip-ventosmir/,08000396.png,933895523,a8000396@xtec.cat,,TRUE
08000402,ESC,Escola Feliu i Vegués,Badalona,"c. Sírius, 2A",08914,Barcelonès,"41,444877","2,22041",EINF2C|EPRI,BCO,08870209,https://agora.xtec.cat/escolafeliuivegues/,08000402.png,933871241,a8000402@xtec.cat,,TRUE
08000499,IE,Sant Domènec Savio,Badalona,"c. Alfons XII, 111",08912,Barcelonès,"41,443609","2,239351",EINF2C|EPRI|ESO|AA01|CFPM,BCO,08870209,http://badalona.salesians.cat,08000499.png,933877254,a8000499@xtec.cat,,FALSE
08000517,IE,Sant Andreu,Badalona,"c. Arnús, 16-18",08911,Barcelonès,"41,448855","2,246547",EINF2C|EPRI|ESO|BATX,BCO,08870209,http://www.standreu.org,08000517.png,933847710,a8000517@xtec.cat,@standreu,FALSE
08000578,IE,Nen Jesús de Praga,Badalona,"c. Barcelona, 44",08911,Barcelonès,"41,451639","2,244611",EINF2C|EPRI|ESO,BCO,08870209,http://www.escolanjpraga.com,08000578.png,933842413,a8000578@xtec.cat,,FALSE
08000608,ESC,Montserrat,Badalona,"c. Carles I, 9-13",08917,Barcelonès,"41,451658","2,235749",EINF1C|EINF2C|EPRI,BCO,08870209,http://www.xtec.cat/centres/a8000608/,,933880045,a8000608@xtec.cat,,FALSE
08000670,ESC,FEP Mare de Déu de la Salut,Badalona,"pg. de la  Salut, 36-38",08914,Barcelonès,"41,440342","2,227628",EINF2C|EPRI,BCO,08870209,http://www.escolamds.cat,,933876243,a8000670@xtec.cat,,FALSE
08000700,IE,Maristes Champagnat,Badalona,"c. Dos de Maig, 67",08912,Barcelonès,"41,447797","2,244565",EINF2C|EPRI|ESO|BATX,BCO,08870209,http://www.maristes.cat,08000700.png,933895650,a8000700@xtec.cat,@maristesbdn,FALSE
08000712,FP,Llefià,Badalona,"c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B",08913,Barcelonès,"41,438173","2,216834",CFPM|CFPS,BCO,08870209,http://www.fpllefia.com,08000712.png,933883298,a8000712@xtec.cat,,FALSE
08000761,IE,Badalonès,Badalona,"c. Arbres, 17",08912,Barcelonès,"41,447415","2,246084",EINF2C|EPRI|ESO|BATX|CFPM|AA03|CFPS|ADULTS,BCO,08870209,http://www.badalones.com,08000761.png,933895716,a8000761@xtec.cat,@cbadalones,FALSE
08000827,IE,Jesús Maria,Badalona,"c. Lepant, 3",08917,Barcelonès,"41,449059","2,223411",EINF2C|EPRI|ESO,BCO,08870209,http://jm-badalona.com,08000827.png,933874696,a8000827@xtec.cat,,FALSE
08000864,IE,Cultural,Badalona,"ptge. Pi i Gibert, 29-31",08913,Barcelonès,"41,436516","2,2206",EINF1C|EINF2C|EPRI|ESO,BCO,08870209,http://www.escolaculturalbadalona.com,08000864.png,933875299,a8000864@xtec.cat,,FALSE
08000918,IE,Cultural,Badalona,"pl. Marquès de Barberà, 13",08911,Barcelonès,"41,452343","2,246821",EINF2C|EPRI|ESO|BATX|CFPM|AA03|CFPS,BCO,08870209,http://www.culturalbadalona.com,08000918.png,933840451,a8000918@xtec.cat,,FALSE
08000921,IE,Arrels-Esperança,Badalona,"c. Provença, 7",08914,Barcelonès,"41,439319","2,22398",EINF1C|EINF2C|EPRI|ESO,BCO,08870209,http://www.escolesarrels.com/,08000921.png,933876199,a8000921@xtec.cat,@EscolesArrels,FALSE
