Id Sql,Id,Bloc,Id Programa,Codi Centre,Nom Centre,Curs Inici,Curs Final,Certifica,Continua,Baixa,Titol,Ambits Innovacio,Ambits Curriculars,Etapes Objectiu,Url Web,Url Video,Nom Fitxa,Observacions,Observacions Gestors,Incidencia Resolta,Dades Json,Dades Antigues,Data Creacio,Data Ultim Canvi
2,9-08001421,Programes,9,08001421,Institut La Pineda,2018-2019,2019-2020,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2019-2020"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
3,9-08001480,Programes,9,08001480,EA Pau Gargallo,2015-2016,2019-2020,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2019-2020"", ""Curs_inici"": ""2015-2016""}}",2024-11-11 19:38:54,
4,9-08065071,Programes,9,08065071,CTV,2018-2019,2018-2019,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2018-2019"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
5,9-08004067,Programes,9,08004067,Jesuïtes Sarrià - Sant Ignasi,2018-2019,2018-2019,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2018-2019"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
6,9-08005242,Programes,9,08005242,Escola Pia de Nostra Senyora,2018-2019,2018-2019,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2018-2019"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
7,9-08009260,Programes,9,08009260,Jesuïtes Clot - El Clot,2018-2019,2018-2019,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2018-2019"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
8,9-08065421,Programes,9,08065421,Institut Marta Mata,2023-2024,2023-2024,,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": """", ""Curs_final"": ""2023-2024"", ""Curs_inici"": ""2023-2024""}}",2024-11-11 19:38:54,
9,9-08067961,Programes,9,08067961,Llar d'infants Petit Príncep,2022-2023,2022-2023,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2022-2023"", ""Curs_inici"": ""2022-2023""}}",2024-11-11 19:38:54,
10,9-08072255,Programes,9,08072255,Institut Premià de Mar,2018-2019,2022-2023,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2022-2023"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
11,9-08012714,Programes,9,08012714,Institut Anna Gironella de Mundet,2018-2019,2023-2024,S,,,,,,,,,,,,,,"{""04-12-2024 21:33"": {""Baixa"": """", ""Continua"": """", ""Certifica"": ""S"", ""Curs_final"": ""2023-2024"", ""Curs_inici"": ""2018-2019""}}",2024-11-11 19:38:54,
