Id Sql,Id,Centres,Bloc,Nom Curt,Nom Programa,Descripcio,Ambits Curriculars,Ambits Innovacio,Etapes Objectiu,Objectius,Requisits,Compromisos,Periode,Fitxa,Enllaç Fitxa,Vídeo,Web Programa,Simbol,Unitat,Responsable,Contacte,Modificar Definicio,Pujar Dades,Continuitat Anual,Idfullnouscentres,Dades Json
1,38,38,Programes,catskills,Programa de formació en alternança en els ensenyaments de FPI,El _Programa de formació professional dual_ consisteix en donar suport i assessorament als centres educatius que desenvolupen projectes de formació professional en alternança..,,"A1-MET,A3-COM","CFPM,CFPS","- Millorar el servei de suport als centres que desenvolupen projectes d’FP en alternança.
- Millorar la qualitat dels projectes Dual.
- Augmentar l’extensió de l’FP dual a Catalunya.",Que el centre hagi comunicat la realització del cicle en dual.,"La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Assistir amb puntualitat a les sessions de treball, segons el programa de reunions.
- Participar activament a les reunions de treball i portar-les preparades.
- I",Anual,06_FP Dual.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/06_FP Dual.pdf,,https://agora.xtec.cat/fpdual/,fpdual.png,,,pifp.ensenyament@gencat.cat,,S,S,1DWus78dse004vB4zFfLePa97QEDDIgEHbgMK0xn3AWY,"{""id"": ""9"", ""Bloc"": ""Programes"", ""Fitxa"": ""23_Catskills.pdf"", ""Enllac"": ""https://projectes.xtec.cat/catskills/"", ""Simbol"": ""catskills.png"", ""Unitat"": ""Innovació"", ""Vídeo"": """", ""Centres"": ""9"", ""Periode"": ""Anual"", ""Contacte"": ""ftejero@xtec.cat"", ""Nom_curt"": "
2,13,13,Programes,comunitats,Comunitats d'aprenentatge,El Programa _Comunitats d’Aprenentatge_ (Cd’A) consisteix en transformació social i cultural d’un centre educatiu basat en l’aplicació d’aquelles actuacions educatives d’èxit (AEE) de les quals s’ha demostrat científicament que milloren el rendiment educat,"LIN,MAT,SOC",A3-COM,"EINF1C,EINF2C,EPRI,ESO,BATX,CFAS,ADULTS",- Formar el professorat en l’aprenentatge dialògic.&#10;- Difondre les actuacions educatives d’èxit.&#10;- Acompanyar la consolidació del centre com a Cd’A.,Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:&#10;- Conèixer prèviament les característiques del projecte. (Es pot sol·licitar una xerrada de sensibilització a socinfant,"La participació del centre en el programa suposa l’acceptació dels compromisos següents:&#10;- Comprometre’s a la participació: ha de comptar amb la presència de tot el claustre i hi poden participar membres de la comunitat educativa (familiars, personal d",Trianual,04_comunitats.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/04_comunitats.pdf,https://www.youtube.com/watch?v=hHQdz4hsWZQ&list=PLHQ2RmbOIhEqjjKbhH-LTt_QgyUdD6IYY&index=4,http://xtec.gencat.cat/ca/projectes/comunitats/,xarxa_ca.png,Innovació,,socinfantilprimaria.ensenyament@gencat.cat,,S,,1lNOOXWk2IpH7_9z5kjVSrOWRivn61v5JWBQZAJE_8Gs,"{""id"": ""13"", ""Bloc"": ""Programes"", ""Fitxa"": ""04_Comuinitats d&apos;Aprenentatge.pdf"", ""Enllac"": ""http://xtec.gencat.cat/ca/projectes/comunitats/"", ""Simbol"": ""xarxa_ca.png"", ""Unitat"": ""Innovació"", ""Vídeo"": ""https://www.youtube.com/watch?v=hHQdz4hsWZQ&list=PL"
3,20,20,Programes,gep,Generació plurilingüe (GEP),"El programa _Generació Plurilíngüe_ (GEP) promou, d’una banda, l’increment del temps d’exposició de l’alumnat a les llengües estrangeres curriculars i, d’una altra, acompanya els centres educatius en el procés de desplegament i consolidació d’un projecte l",LIN,"A1-MET,A2-ORG","BATX,CFPM,CFPS,EPRI,ESO","- Millorar el nivell de competència en llengua estrangera de l’alumnat que participa en el programa.
- Facilitar estratègies organitzatives als centres per planificar la incorporació progressiva de l’ensenyament de llengües estrangeres curriculars a travé","Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:
- Disposar de professorat suficient i acreditat amb un nivell mínim B2 de llengua estrangera, d’acord amb la classificació","La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Constituir un grup impulsor en el centre, del qual formaran part el director del centre o un membre de l’equip directiu en qui delegui, un mestre/a o professor/a de",Trianual,07_GEP.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/07_gep.pdf,https://www.youtube.com/watch?v=NyzzPVYdpf4&list=PLHQ2RmbOIhEqjjKbhH-LTt_QgyUdD6IYY&index=5,https://projectes.xtec.cat/gep/el-projecte/,gep.png,Innovació,,"sllengua@xtec.cat,nverges1@xtec.cat,mblanch3@xtec.cat",S,S,,1s10AHFjE7JP1_ll9Hzd1S6FeSCRWWqnNsmmoI5Xta1g,"{""id"": ""20"", ""Bloc"": ""Programes"", ""Fitxa"": ""07_GEP.pdf"", ""Enllac"": ""https://projectes.xtec.cat/gep/el-projecte/"", ""Simbol"": ""gep.png"", ""Unitat"": ""Innovació"", ""Vídeo"": ""https://www.youtube.com/watch?v=NyzzPVYdpf4&list=PLHQ2RmbOIhEqjjKbhH-LTt_QgyUdD6IYY&inde"
4,21,21,Programes,impulslectura,Impuls de la lectura,"L’ILEC consisteix en un programa de formació per als centres educatius de l’ensenyament obligatori estructurat en tres eixos: saber llegir, llegir per aprendre i el gust per llegir.

La formació té una durada de tres cursos escolars i inclou la dinamitza",LIN,A1-MET,"ADULTS,EINF2C,EPRI,ESO","El pla té com a objectius generals:
- Millorar la competència lectora per augmentar el rendiment acadèmic de tots els alumnes i afavorir així l’èxit educatiu.
- Aconseguir que els infants i joves assumeixin les seves responsabilitats com a aprenents autò","Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:
- Tenir un marge de millora significatiu.
- Tenir una estructura organitzativa que permeti un treball metodològic transve","La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Constituir un grup impulsor en el centre, del qual formaran part el director del centre o membre de l’equip directiu en qui delegui, coordinadors de cicle o de nive",Trianual,08_Impuls de la lectura.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/08_impuls de la lectura.pdf,,http://xtec.gencat.cat/ca/projectes/lectura/impulslectura/,impuls_lectura.png,,,"sial@xtec.cat,ftejero@xtec.cat",,S,S,1Q4KbM1i1Tbm-rpo9LqvKWX8iIjYJrS-9Mr3QvRxY_Zk,"{""id"": ""21"", ""Bloc"": ""Programes"", ""Fitxa"": ""08_Impuls de la lectura.pdf"", ""Enllac"": ""http://xtec.gencat.cat/ca/projectes/lectura/impulslectura/"", ""Simbol"": ""impuls_lectura.png"", ""Unitat"": """", ""Vídeo"": """", ""Centres"": ""21"", ""Periode"": ""Trianual"", ""Contacte"":"
5,25,25,Programes,mobilitatFP,Programa de mobilitat formativa i cooperació europea i internacional en els ensenyaments professionals,"El _Programa de mobilitat formativa i cooperació internacional en els ensenyaments professionals_ té per objectiu acompanyar els centres que imparteixen ensenyaments professionals en l’establiment de la seva estratègia internacional.

El programa associa",,"A1-MET,A3-COM","CFAM,CFAS,CFPM,CFPS,ESDI,IDI,TEGM,TEGS","Els objectius estratègics del programa són:
- Millorar el coneixement per part de la comunitat educativa dels diversos programes europeus, les seves característiques i les seves oportunitats.
- Fomentar l’intercanvi d’experiències i bones pràctiques rela","Poden formar part del programa els centres educatius de Catalunya de titularitat pública o privada que reuneixin els requisits següents:
- Impartir ensenyaments professionals.
- Tenir implantat un sistema de gestió de qualitat i millora del centre o esta","- Designar una persona del centre com a coordinadora de mobilitat i cooperació internacional. En el cas dels centres públics, la persona coordinadora del projecte ha de ser designada, preferentment, entre el professorat que tingui la destinació definitiva ",Anual,21_mobilitatformativa.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/21_mobilitatformativa.pdf,,https://projectes.xtec.cat/mobilitatfp/,mobilitat.png,,,mobilitatfp.educacio@gencat.cat,,S,S,1DsKslpr-w-OKnoVwWHv59DKHxYErC87KKRpmWP7PyZ0,"{""id"": ""25"", ""Bloc"": ""Programes"", ""Fitxa"": ""21_Mobilitat formativa.pdf"", ""Enllac"": ""https://projectes.xtec.cat/mobilitatfp/"", ""Simbol"": ""mobilitat.png"", ""Unitat"": """", ""Vídeo"": """", ""Centres"": ""25"", ""Periode"": ""Anual"", ""Contacte"": ""mobilitatfp.educacio@genca"
6,32,32,Programes,innovafp,Programa d´innovació i transferència de coneixement  InnovaFP,"Amb el _Programa Innova FP_, els centres de formació professional tenen l’oportunitat d’esdevenir un referent en innovació en el seu territori, alhora que les empreses poden tenir presents aquests centres com a possibles col·laboradors quan es plantegen pr",,"A1-MET,A2-ORG,A3-COM","CFPM,CFPS","- Millorar la formació de l’alumnat perquè incrementi les seves capacitats i competències clau per al seu desenvolupament professional.
- Actualitzar dels coneixements i metodologies del professorat de formació professional, que ha de revertir en la millo","Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:
- Impartir ensenyaments de formació professional inicial.
- Tenir implantat un sistema de gestió de qualitat i millora de","La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Realitzar les tasques en el termini establert.
- Compartir la informació i el coneixement.
- Crear mantenir, fer créixer i difondre un servei d’innovació i transf",Anual,09_InnovaFP.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/09_innovafp.pdf,,http://www.innovafp.cat,innova_fp.png,,,"innovafp@xtec.cat,bmasso@xtec.cat",,S,S,1LrzMIix3KlakWYNcTB6bBiH80aSf_jWNqWv3Ifpd1CU,"{""id"": ""32"", ""Bloc"": ""Programes"", ""Fitxa"": ""09_InnovaFP.pdf"", ""Enllac"": ""http://www.innovafp.cat"", ""Simbol"": ""innova_fp.png"", ""Unitat"": """", ""Vídeo"": """", ""Centres"": ""32"", ""Periode"": ""Anual"", ""Contacte"": ""innovafp@xtec.cat"", ""Nom_curt"": ""innovafp"", ""Objectiu"
7,33,33,Programes,assessorament,Programa d'assessorament professional a les persones i a les empreses,El _Programa d’assessorament professional a les persones i les empreses _consisteix en facilitar mecanismes de provisió d’informació per als següents usuaris: Persones adultes procedents o no del mercat de treball interessades en obtenir titulacions del si,,"A1-MET,A3-COM","CFAS,CFPM,CFPS","- Implantar, en el marc del projecte educatiu, accions sistemàtiques d’orientació acadèmica i d’orientació professional en els centres d’ensenyaments professionals.
- Promoure la millora de metodologies d’assessorament a persones adultes que s’està aplica","Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:
- Impartir ensenyaments professionals sostinguts amb fons públics.
- Tenir implantat un sistema de gestió de qualitat i m","La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Elaborar un pla de treball de centre prenent com a referència els objectius de cada xarxa en què es participi.
- La direcció del centre ha de vetllar per la implan",Anual,11_Programa assessorament.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/11_programa assessorament.pdf,,https://clic.xtec.cat/pub/fitxes/11_assessorament.pdf,assessorament_fp.png,,,proass.ens@gmail.com,,S,S,11Bbf7pH7VLqXEyIrgzSD9ufNubM06PPeS-DQsbQDyRc,"{""id"": ""33"", ""Bloc"": ""Programes"", ""Fitxa"": ""11_Programa assessorament.pdf"", ""Enllac"": ""https://clic.xtec.cat/pub/fitxes/11_assessorament.pdf"", ""Simbol"": ""assessorament_fp.png"", ""Unitat"": """", ""Vídeo"": """", ""Centres"": ""33"", ""Periode"": ""Anual"", ""Contacte"": ""pr"
8,37,37,Programes,emprenFP,Programa d'innovació pedagògica EmprènFP,"El _Programa d'innovació pedagògica EmprènFP_ consisteix en programa per estimular als centres d'FP com ecosistemes emprenedors a través de la creació d’estructures emprenedores, la promoció, la formació en emprenedoria i els canvis metodològics per arriba",,"A1-MET,A2-ORG","CFPM,CFPS","Objectius del primer nivell o subprograma _Emprèn_:
- Capacitar l’alumnat perquè pugui gestionar projectes emprenedors amb innovació, creativitat, autonomia personal, iniciativa, detecció d’oportunitats i captació de recursos, per tal de facilitar la seva","Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:
- Impartir ensenyaments professionals.
- Tenir implantat un sistema de gestió de qualitat i millora del centre o estar en","La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Facilitar l’assistència del professorat a les sessions de treball, segons el programa de reunions.
- Participar activament a les reunions, aportant coneixements i ",Anual,37_emprenfp.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/37_emprenfp.pdf,,https://xtec.gencat.cat/ca/innovacio/programes_innovacio/formacio-professional-i-regim-especial/impulsfp/programes/emprenfp/,emprenfp.png,,,xarxaemprenedoria@xtec.cat,,S,S,1hBhNQSyouQ8Jeghtzt333F6hjbGBKaOklQs5mdIELj8,"{""id"": ""37"", ""Bloc"": ""Programes"", ""Fitxa"": ""37_emprenfp.pdf"", ""Enllac"": ""https://xtec.gencat.cat/ca/innovacio/programes_innovacio/formacio-professional-i-regim-especial/impulsfp/programes/emprenfp/"", ""Simbol"": ""emprenfp.png"", ""Unitat"": """", ""Vídeo"": """", ""Ce"
9,9,9,Programes,FPDual,Campionat de Catalunya de l'FP i proves tècniques de les Olimpíades d'FP - SKILLS,El programa del _Campionat de Catalunya de la formació professional i proves tècniques de les olimpíades d’FP Skills_ cerca promoure l’excel·lència en l’exercici de les competències professionals i és un estímul per a la millora de la qualitat de l’aprenen,,"A1-MET,A3-COM","CFAM,CFAS,CFPM,CFPS,ESCS,ESDI","- Promoure la qualitat dels ensenyaments professionals que es duen a terme a diferents centres educatius del territori.
- Impulsar, promoure i prestigiar els ensenyaments professionals i crear xarxes de col·laboració entre els centres, el professorat part","Per formar part del programa Catskills els centres educatius han de complir els requisits següents:
- Impartir ensenyaments professionals.
- Complir els requisits establerts per a cada competició.
- Presentar la sol·licitud de participació d’acord amb e","La participació del centre en el programa Catskills suposa l’acceptació dels compromisos següents:
- Inscripció de l’alumne i el tutor en el termini establert.
- Entrenament de l’alumne per part del tutor.
- Participació el dia de la prova.",Anual,23_Catskills.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/23_catskills.pdf,,https://agora.xtec.cat/fpdual/,catskills.png,Innovació,,pifp.ensenyament@gencat.cat,,S,S,11CAWLs0SfgSJwZqx3SP9u600Hv8VnVQf7duuoPErNIo,"{""id"": ""38"", ""Bloc"": ""Programes"", ""Fitxa"": ""06_FP Dual.pdf"", ""Enllac"": ""https://agora.xtec.cat/fpdual/"", ""Simbol"": ""fpdual.png"", ""Unitat"": """", ""Vídeo"": """", ""Centres"": ""38"", ""Periode"": ""Anual"", ""Contacte"": ""fpdual.ensenyament@xtec.cat"", ""Nom_curt"": ""fpdual"""
10,39,39,Programes,qualitatimillora,Programa de Qualitat i Millora contínua,El programa _Projecte de Qualitat i Millora Contínua_ (PQiMC) és una unitat funcional del Servei de Programes i Projectes de Foment dels Ensenyaments Professionals de la DGFPIERE. Te com a missió ajudar i donar suport als centres educatius de Catalunya en ,,A2-ORG,"CFAM,CFAS,CFPM,CFPS,IDI,MUSP,PFI,TEGM,TEGS","L’objectiu és donar servei als centres educatius per millorar-ne els resultats educatius, satisfer les parts implicades en l’ensenyament, desplegar sistemes de gestió de qualitat total i afavorir la creativitat, la millora contínua i la innovació.

Se’n ","Per formar part del programa els centres educatius han de presentar la sol·licitud de participació i complir els requisits següents:
- Centres de titularitat pública de formació professional, i els centres públics d'ensenyaments de règim especial.
- Disp","La participació del centre en el programa suposa l’acceptació dels compromisos següents:
- Implementar un model de gestió de la qualitat i estar en disposició d'obtenir la certificació acreditativa, si escau.
- Assumir que el lideratge i la implementació",Anual,13_Qualitat i millora.pdf,https://clic.xtec.cat/pub/innovacio/fitxes/13_qualitat i millora.pdf,,https://projectes.xtec.cat/qualitatfp/,qualitat_millora.png,,,fpqualitat@xtec.cat,,S,S,18qV6q5FIGC9LaSN_ykRUEmflKMcLNR3U0sPANs_pib4,"{""id"": ""39"", ""Bloc"": ""Programes"", ""Fitxa"": ""13_Qualitat i millora.pdf"", ""Enllac"": ""https://projectes.xtec.cat/qualitatfp/"", ""Simbol"": ""qualitat_millora.png"", ""Unitat"": """", ""Vídeo"": """", ""Centres"": ""39"", ""Periode"": ""Anual"", ""Contacte"": ""fpqualitat@xtec.cat"","
